27.02.2023;1000000;
28.02.2023;996000;5000
01.03.2023;1003968;
02.03.2023;991920;
03.03.2023;1011758;
04.03.2023;991523;
05.03.2023;1007387;-10000
06.03.2023;1019476;
07.03.2023;1007242;
08.03.2023;1023358;
09.03.2023;1023358;
10.03.2023;1023358;
11.03.2023;1002891;
12.03.2023;994868;
13.03.2023;998847;
14.03.2023;1010833;
15.03.2023;994660;
16.03.2023;1014553;
17.03.2023;1014553;
18.03.2023;1038902;
19.03.2023;1043058;50000
20.03.2023;1026369;
21.03.2023;1014053;
22.03.2023;1026222;
23.03.2023;1038537;
24.03.2023;1017766;
25.03.2023;1042192;
26.03.2023;1025517;
27.03.2023;1005007;
28.03.2023;1013047;
29.03.2023;1033308;
30.03.2023;1029175;
31.03.2023;1012708;-10000
01.04.2023;1000556;
02.04.2023;984547;
03.04.2023;992423;
04.04.2023;976544;
05.04.2023;972638;
06.04.2023;968747;
07.04.2023;988122;
08.04.2023;972312;
09.04.2023;983980;
10.04.2023;995788;
11.04.2023;987822;
12.04.2023;1007578;
13.04.2023;1015639;
14.04.2023;1040014;
15.04.2023;1060814;
16.04.2023;1073544;
17.04.2023;1090721;
18.04.2023;1112535;
19.04.2023;1116985;
20.04.2023;1125921;
21.04.2023;1116914;
22.04.2023;1130317;
23.04.2023;1121274;
24.04.2023;1112304;
25.04.2023;1130101;
26.04.2023;1130101;
27.04.2023;1152703;
28.04.2023;1166535;
29.04.2023;1161869;
30.04.2023;1189754;
01.05.2023;1189754;
02.05.2023;1180236;
03.05.2023;1194399;
04.05.2023;1199177;
05.05.2023;1179990;
06.05.2023;1184710;
07.05.2023;1198927;40000
08.05.2023;1208518;
09.05.2023;1232688;
10.05.2023;1247480;
11.05.2023;1257460;
12.05.2023;1252430;
13.05.2023;1262449;
14.05.2023;1237200;
15.05.2023;1247098;
16.05.2023;1242110;
17.05.2023;1261984;
18.05.2023;1251888;
19.05.2023;1271918;
20.05.2023;1251567;
21.05.2023;1251567;
22.05.2023;1266586;
23.05.2023;1266586;-60000
24.05.2023;1291918;
25.05.2023;1271247;
26.05.2023;1296672;
27.05.2023;1296672;
28.05.2023;1312232;
29.05.2023;1291236;
30.05.2023;1296401;
31.05.2023;1270473;
01.06.2023;1285719;
02.06.2023;1290862;
03.06.2023;1311516;
04.06.2023;1322008;
05.06.2023;1332584;20000
06.06.2023;1353905;
07.06.2023;1380983;
08.06.2023;1386507;
09.06.2023;1386507;
10.06.2023;1358777;
11.06.2023;1375082;
12.06.2023;1364081;
13.06.2023;1385906;
14.06.2023;1385906;
15.06.2023;1391450;
16.06.2023;1424845;
17.06.2023;1441943;
18.06.2023;1459246;
19.06.2023;1435898;
20.06.2023;1424411;
21.06.2023;1407318;
22.06.2023;1379172;-15000
23.06.2023;1395722;
24.06.2023;1384556;
25.06.2023;1373480;
26.06.2023;1362492;
27.06.2023;1395192;
28.06.2023;1406354;
29.06.2023;1383852;
30.06.2023;1389387;
01.07.2023;1417175;
02.07.2023;1417175;
03.07.2023;1422844;
04.07.2023;1434227;
05.07.2023;1457175;
06.07.2023;1433860;
07.07.2023;1439595;
08.07.2023;1456870;
09.07.2023;1474352;
10.07.2023;1462557;
11.07.2023;1468407;30000
12.07.2023;1450786;
13.07.2023;1473999;
14.07.2023;1444519;
15.07.2023;1467631;
16.07.2023;1455890;
17.07.2023;1444243;
18.07.2023;1467351;
19.07.2023;1496698;
20.07.2023;1490711;
21.07.2023;1502637;
22.07.2023;1502637;
23.07.2023;1520669;
24.07.2023;1514586;
25.07.2023;1526703;
26.07.2023;1526703;
27.07.2023;1526703;
28.07.2023;1502276;
29.07.2023;1532322;-40000
30.07.2023;1569098;
31.07.2023;1550269;
01.08.2023;1575073;
02.08.2023;1568773;
03.08.2023;1593873;
04.08.2023;1612999;
05.08.2023;1645259;
06.08.2023;1665002;
07.08.2023;1704962;
08.08.2023;1684502;
09.08.2023;1684502;
10.08.2023;1671026;
11.08.2023;1697762;
12.08.2023;1724926;
13.08.2023;1766324;
14.08.2023;1766324;
15.08.2023;1766324;
